file_nm,title,file_url,video_length,age_group,strength,muscularEndurance,cardiovascularEndurance,flexibility,agility,power,equipment
0AUDLJ08S_00041.mp4,요통 예방 운동프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00041.mp4,2299,공통,0.26595744680851063,0.26595744680851063,0.0,0.46808510638297873,0.0,0.0,"['매트', '짐볼']"
0AUDLJ08S_00042.mp4,낙상 예방 운동프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00042.mp4,981,공통,0.25,0.25,0.0,0.0,0.25,0.25,"['의자', '줄사다리']"
0AUDLJ08S_00043.mp4,우울증 예방 운동프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00043.mp4,2928,공통,0.27906976744186046,0.27906976744186046,0.0,0.4418604651162791,0.0,0.0,"['공', '스텝박스', '짐볼', '풍선']"
0AUDLJ08S_00044.mp4,우울증 예방 운동프로그램(댄스운동 편),http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00044.mp4,371,공통,0.1956521739130435,0.1956521739130435,0.0,0.6086956521739131,0.0,0.0,[]
0AUDLJ08S_00045.mp4,고혈압 예방 운동프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00045.mp4,2056,공통,0.17647058823529413,0.17647058823529413,0.0,0.6470588235294118,0.0,0.0,"['매트', '밴드', '의자', '짐볼']"
0AUDLJ08S_00046.mp4,당뇨병 예방 운동프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00046.mp4,1098,공통,0.3125,0.3125,0.0,0.375,0.0,0.0,['매트']
0AUDLJ08S_00047.mp4,골다공증 예방 운동프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00047.mp4,830,공통,0.5,0.5,0.0,0.0,0.0,0.0,"['매트', '밴드', '짐볼']"
0AUDLJ08S_00048.mp4,인지노쇠 예방 운동프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00048.mp4,1175,공통,0.48333333333333334,0.48333333333333334,0.0,0.03333333333333333,0.0,0.0,['공']
0AUDLJ08S_00049.mp4,짐볼을 활용한 스트레칭 프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00049.mp4,841,공통,0.0,0.0,0.0,1.0,0.0,0.0,['짐볼']
0AUDLJ08S_00050.mp4,짐볼을 활용한 근력운동 프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00050.mp4,1224,공통,0.5,0.5,0.0,0.0,0.0,0.0,['짐볼']
0AUDLJ08S_00051.mp4,품롤러를 활용한 스트레칭 프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00051.mp4,1239,공통,0.0,0.0,0.0,1.0,0.0,0.0,['폼롤러']
0AUDLJ08S_00052.mp4,품롤러를 활용한 근력운동 프로그램,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00052.mp4,865,공통,0.5,0.5,0.0,0.0,0.0,0.0,['폼롤러']
0AUDLJ08S_00053.mp4,PAPS 4-5등급 학생 체력증진 프로그램 1편(유연성 향상 편),http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00053.mp4,1315,청소년,0.019230769230769232,0.019230769230769232,0.0,0.8846153846153846,0.038461538461538464,0.038461538461538464,['매트']
0AUDLJ08S_00054.mp4,PAPS 4-5등급 학생 체력증진 프로그램 2편(근력·근지구력 향상 편),http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00054.mp4,980,청소년,0.5,0.5,0.0,0.0,0.0,0.0,"['매트', '짐볼']"
0AUDLJ08S_00055.mp4,PAPS 4-5등급 학생 체력증진 프로그램 3편(민첩성·순발력 향상 편),http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00055.mp4,1299,청소년,0.0,0.0,0.0,0.0,0.5,0.5,"['스텝박스', '줄사다리']"
0AUDLJ08S_00056.mp4,직장인을 위한 운동프로그램(뭉친 어깨 안녕),http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00056.mp4,1168,성인,0.23076923076923078,0.23076923076923078,0.0,0.5384615384615384,0.0,0.0,"['물병', '의자']"
0AUDLJ08S_00057.mp4,직장인을 위한 운동프로그램(다리 부종 타파),http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00057.mp4,822,성인,0.38461538461538464,0.0,0.0,0.6153846153846154,0.0,0.0,[]
0AUDLJ08S_00058.mp4,직장인을 위한 운동프로그램(동료와 함께 짝운동),http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00058.mp4,578,성인,0.041666666666666664,0.041666666666666664,0.0,0.9166666666666666,0.0,0.0,"['줄사다리', '짐볼']"
0AUDLJ08S_00173.mp4,실내 자전거타기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00173.mp4,50,공통,0.0,0.0,1.0,0.0,0.0,0.0,['실내자전거']
0AUDLJ08S_00174.mp4,트레드밀에서 걷기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00174.mp4,40,공통,0.0,0.0,1.0,0.0,0.0,0.0,['트레드밀']
0AUDLJ08S_00180.mp4,아쿠아로빅,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00180.mp4,189,공통,0.0,0.0,1.0,0.0,0.0,0.0,['아쿠아봉']
0AUDLJ08S_00183.mp4,달리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00183.mp4,34,공통,0.0,0.0,1.0,0.0,0.0,0.0,[]
0AUDLJ08S_00184.mp4,실외 자전거타기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00184.mp4,38,공통,0.0,0.0,1.0,0.0,0.0,0.0,['자전거']
0AUDLJ08S_00186.mp4,계단 올라갔다 내려오기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00186.mp4,32,공통,0.0,0.0,1.0,0.0,0.0,0.0,[]
0AUDLJ08S_00187.mp4,계단 뛰어 오르기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00187.mp4,38,공통,0.0,0.0,1.0,0.0,0.0,0.0,[]
0AUDLJ08S_00190.mp4,앉아서 다리 밀기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00190.mp4,55,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00192.mp4,앉아서 다리 굽히기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00192.mp4,42,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00193.mp4,뒤꿈치 들기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00193.mp4,47,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00194.mp4,앉아서 다리 모으기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00194.mp4,44,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00195.mp4,앉아서 다리 벌리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00195.mp4,55,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00197.mp4,앉아서 뒤로 당기기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00197.mp4,66,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00200.mp4,앉아서 밀기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00200.mp4,54,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00201.mp4,누워서 밀기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00201.mp4,63,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00202.mp4,비스듬히 누워서 밀기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00202.mp4,59,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00203.mp4,거꾸로 누워서 밀기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00203.mp4,58,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00204.mp4,앉아서 모으기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00204.mp4,67,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00205.mp4,앉아서 위로 밀기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00205.mp4,60,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00207.mp4,서서 다리 모으고 벌리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00207.mp4,49,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00208.mp4,앉아서 팔꿈치 굽히기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00208.mp4,76,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00209.mp4,서서 팔꿈치 펴기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00209.mp4,69,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00211.mp4,원판던지기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00211.mp4,63,공통,1.0,0.0,0.0,0.0,0.0,0.0,['원판']
0AUDLJ08S_00212.mp4,파워클린,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00212.mp4,77,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00216.mp4,턱걸이,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00216.mp4,50,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00217.mp4,바벨 끌어당기기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00217.mp4,94,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00218.mp4,허리 굽혀 덤벨 들기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00218.mp4,65,공통,1.0,0.0,0.0,0.0,0.0,0.0,['덤벨']
0AUDLJ08S_00221.mp4,매달려서 뒤로 팔굽혀 펴기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00221.mp4,40,공통,1.0,0.0,0.0,0.0,0.0,0.0,['헬스기구']
0AUDLJ08S_00222.mp4,누워서 덤벨 들어올리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00222.mp4,61,공통,1.0,0.0,0.0,0.0,0.0,0.0,['덤벨']
0AUDLJ08S_00223.mp4,누워서 덤벨 모아들기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00223.mp4,57,공통,1.0,0.0,0.0,0.0,0.0,0.0,['덤벨']
0AUDLJ08S_00224.mp4,서서 바벨 위로 밀기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00224.mp4,52,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00225.mp4,바벨 들어 팔꿈치 굽히기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00225.mp4,57,공통,1.0,0.0,0.0,0.0,0.0,0.0,['바벨']
0AUDLJ08S_00226.mp4,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00226.mp4,46,공통,1.0,0.0,0.0,0.0,0.0,0.0,['덤벨']
0AUDLJ08S_00229.mp4,덤벨 옆으로 들어올리기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00229.mp4,59,공통,1.0,0.0,0.0,0.0,0.0,0.0,['덤벨']
0AUDLJ08S_00230.mp4,손목 펴기/굽히기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00230.mp4,67,공통,1.0,0.0,0.0,0.0,0.0,0.0,['덤벨']
0AUDLJ08S_00231.mp4,서서 상체 일으키기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00231.mp4,82,공통,1.0,0.0,0.0,0.0,0.0,0.0,"['덤벨', '물병', '밴드']"
0AUDLJ08S_00233.mp4,한발 앞으로 내밀고 앉았다 일어서기-1,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00233.mp4,64,공통,1.0,0.0,0.0,0.0,0.0,0.0,['밴드']
0AUDLJ08S_00236.mp4,엎드려 버티기,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00236.mp4,58,공통,1.0,0.0,0.0,0.0,0.0,0.0,['매트']
