trng_mscl_nm,rptt_tcnt_nm,file_url,vdo_desc,file_sz,fps_cnt,row_num,resolution,tool_nm,aggrp_nm,frme_no,ecrg_cycl_nm,img_file_nm,trng_mscl_zn_nm,fbctn_yr,trng_plc_nm,vdo_len,trng_mscl_part,lang,trng_nm,job_ymd,trng_mscl_class,vdo_ttl_nm,snap_tm,trng_hr_nm,file_type_nm,file_nm,trng_mscl_eng_nm,img_file_url,img_file_sn,data_type,set_cnt_nm
뒤세모근,,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 탄력밴드 어깨 가쪽 돌림운동을 설명한 운동처방 동영상",10456681,29.96,876,1280*720,밴드,공통,1045,,0AUDLJ08S_00278_SC_00006.jpeg,후면삼각근,2021,실내,63,옆쪽 어깨,한국어,탄력밴드 어깨 가쪽 돌림,20220930,상지의 근,탄력밴드 어깨 가쪽 돌림,34.868,,mp4,0AUDLJ08S_00278.mp4,Posterior Deltoid,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00278/,5,동영상,
뒤세모근,,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 탄력밴드 어깨 가쪽 돌림운동을 설명한 운동처방 동영상",10456681,29.96,877,1280*720,밴드,공통,1529,,0AUDLJ08S_00278_FR_00018.jpeg,후면삼각근,2021,실내,63,옆쪽 어깨,한국어,탄력밴드 어깨 가쪽 돌림,20220930,상지의 근,탄력밴드 어깨 가쪽 돌림,51.017,,mp4,0AUDLJ08S_00278.mp4,Posterior Deltoid,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00278/,6,동영상,
"큰가슴근,넓은등근,등세모근,어깨세모근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 서서 탄력밴드 당겨내리기/올리기운동을 설명한 운동처방 동영상",14202453,29.96,878,1280*720,밴드,공통,90,,0AUDLJ08S_00279_FR_00002.jpeg,"대흉근,광배근,승모근,삼각근",2021,실내,85,"가슴,등,등,바깥쪽 어깨",한국어,당겨내리기,20221111,"가슴의 근,등과 허리의 근,등과 허리의 근,상지의 근",서서 탄력밴드 당겨내리기/올리기,3.003,,mp4,0AUDLJ08S_00279.mp4,"Pectoralis Major,Latissimus Dorsi,Trapezius,Deltoid",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00279/,1,동영상,
"큰가슴근,넓은등근,등세모근,어깨세모근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 서서 탄력밴드 당겨내리기/올리기운동을 설명한 운동처방 동영상",14202453,29.96,879,1280*720,밴드,공통,990,,0AUDLJ08S_00279_FR_00012.jpeg,"대흉근,광배근,승모근,삼각근",2021,실내,85,"가슴,등,등,바깥쪽 어깨",한국어,당겨내리기,20221019,"가슴의 근,등과 허리의 근,등과 허리의 근,상지의 근",서서 탄력밴드 당겨내리기/올리기,33.033,,mp4,0AUDLJ08S_00279.mp4,"Pectoralis Major,Latissimus Dorsi,Trapezius,Deltoid",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00279/,2,동영상,
"등세모근,마름모근,어깨세모근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 서서 탄력밴드 당겨내리기/올리기운동을 설명한 운동처방 동영상",14202453,29.96,880,1280*720,밴드,공통,1259,,0AUDLJ08S_00279_FR_00015.jpeg,"승모근,능형근,삼각근",2021,실내,85,"등,등,바깥쪽 어깨",한국어,당겨올리기,20221019,"등과 허리의 근,등과 허리의 근,상지의 근",서서 탄력밴드 당겨내리기/올리기,42.008,,mp4,0AUDLJ08S_00279.mp4,"Trapezius,Rhomboid,Deltoid",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00279/,3,동영상,
"큰가슴근,넓은등근,등세모근,어깨세모근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 서서 탄력밴드 당겨내리기/올리기운동을 설명한 운동처방 동영상",14202453,29.96,881,1280*720,밴드,공통,1973,,0AUDLJ08S_00279_SC_00009.jpeg,"대흉근,광배근,승모근,삼각근",2021,실내,85,"가슴,등,등,바깥쪽 어깨",한국어,당겨내리기,20221019,"가슴의 근,등과 허리의 근,등과 허리의 근,상지의 근",서서 탄력밴드 당겨내리기/올리기,65.832,,mp4,0AUDLJ08S_00279.mp4,"Pectoralis Major,Latissimus Dorsi,Trapezius,Deltoid",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00279/,4,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,882,1280*720,밴드,공통,1596,,0AUDLJ08S_00280_SC_00008.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,53.253,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,8,동영상,
노쪽 손목 폄근,,http://openapi.kspo.or.kr/web/video/,"소도구를 활용한 근육 완화 운동 중, 공을 활용한 운동처방 동영상",53242921,29.96,883,1280*720,테니스공,공통,5018,,0AUDLJ08S_01017_SC_00016.jpeg,요측수근신근,2021,실내,331,뒤쪽 아래팔,한국어,전완(외측),20221004,상지의 근,테니스공을 활용한 뭉친근육 완화 운동,167.434,,mp4,0AUDLJ08S_01017.mp4,Extensor Carpi Radialis,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_01017/,16,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,884,1280*720,밴드,공통,117,,0AUDLJ08S_00280_SC_00001.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,3.903,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,1,동영상,
"큰볼기근,넙다리두갈래근",,http://openapi.kspo.or.kr/web/video/,"실내에서 할 수 있는 운동 중, 밴드 걸고 엎드려서 다리 구부리기운동을 설명한 운동처방 동영상",12780471,29.96,885,1280*720,밴드,공통,146,,0AUDLJ08S_00280_SC_00002.jpeg,"대둔근,대퇴이두근",2021,실내,78,"엉덩이,뒤쪽 넓적다리",한국어,밴드 걸고 엎드려서 다리 구부리기,20220929,"골반의 근,하지의 근",밴드 걸고 엎드려서 다리 구부리기,4.871,,mp4,0AUDLJ08S_00280.mp4,"Gluteus Maximus,Biceps Femoris",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00280/,2,동영상,
