trng_mscl_nm,rptt_tcnt_nm,file_url,vdo_desc,file_sz,fps_cnt,ftns_lvl_nm,row_num,resolution,tool_nm,aggrp_nm,frme_no,ecrg_cycl_nm,img_file_nm,trng_mscl_zn_nm,fbctn_yr,nope_nm,trng_plc_nm,vdo_len,trng_mscl_part,lang,trng_nm,job_ymd,ftns_fctr_nm,trng_mscl_class,vdo_ttl_nm,snap_tm,trng_hr_nm,file_type_nm,file_nm,trng_mscl_eng_nm,img_file_url,img_file_sn,data_type,set_cnt_nm
"큰가슴근,어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15145209,29.96,중급,1,1920*1080,매트,유소년,523,,0AUDLJ08S_00351_SC_00005.jpeg,"대흉근,삼각근,상완삼두근",2019,1인 이상,실내,91,"가슴,바깥쪽 어깨,뒤쪽 위팔",한국어,팔 굽혀 펴기(매트),20221010,근력/근지구력,"가슴의 근,상지의 근,상지의 근",팔굽혀펴기,17.45,,mp4,0AUDLJ08S_00351.mp4,"Pectoralis Major,Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,3,동영상,
"큰가슴근,어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15145209,29.96,중급,2,1920*1080,매트,유소년,630,,0AUDLJ08S_00351_FR_00008.jpeg,"대흉근,삼각근,상완삼두근",2019,1인 이상,실내,91,"가슴,바깥쪽 어깨,뒤쪽 위팔",한국어,팔 굽혀 펴기(매트),20221010,근력/근지구력,"가슴의 근,상지의 근,상지의 근",팔굽혀펴기,21.021,,mp4,0AUDLJ08S_00351.mp4,"Pectoralis Major,Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,4,동영상,
"큰가슴근,어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15145209,29.96,중급,3,1920*1080,매트,유소년,1161,,0AUDLJ08S_00351_SC_00012.jpeg,"대흉근,삼각근,상완삼두근",2019,1인 이상,실내,91,"가슴,바깥쪽 어깨,뒤쪽 위팔",한국어,팔 굽혀 펴기(매트),20221010,근력/근지구력,"가슴의 근,상지의 근,상지의 근",팔굽혀펴기,38.738,,mp4,0AUDLJ08S_00351.mp4,"Pectoralis Major,Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,5,동영상,
"큰가슴근,어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15145209,29.96,중급,4,1920*1080,매트,유소년,1625,,0AUDLJ08S_00351_SC_00020.jpeg,"대흉근,삼각근,상완삼두근",2019,1인 이상,실내,91,"가슴,바깥쪽 어깨,뒤쪽 위팔",한국어,팔 굽혀 펴기(매트),20221010,근력/근지구력,"가슴의 근,상지의 근,상지의 근",팔굽혀펴기,54.22,,mp4,0AUDLJ08S_00351.mp4,"Pectoralis Major,Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,6,동영상,
"큰가슴근,어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15145209,29.96,중급,5,1920*1080,매트,유소년,1712,,0AUDLJ08S_00351_SC_00021.jpeg,"대흉근,삼각근,상완삼두근",2019,1인 이상,실내,91,"가슴,바깥쪽 어깨,뒤쪽 위팔",한국어,팔 굽혀 펴기(매트),20221010,근력/근지구력,"가슴의 근,상지의 근,상지의 근",팔굽혀펴기,57.123,,mp4,0AUDLJ08S_00351.mp4,"Pectoralis Major,Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,7,동영상,
"큰가슴근,어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15145209,29.96,중급,6,1920*1080,매트,유소년,1799,,0AUDLJ08S_00351_SC_00023.jpeg,"대흉근,삼각근,상완삼두근",2019,1인 이상,실내,91,"가슴,바깥쪽 어깨,뒤쪽 위팔",한국어,팔 굽혀 펴기(매트),20221010,근력/근지구력,"가슴의 근,상지의 근,상지의 근",팔굽혀펴기,60.026,,mp4,0AUDLJ08S_00351.mp4,"Pectoralis Major,Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,8,동영상,
"큰가슴근,어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15145209,29.96,중급,7,1920*1080,매트,유소년,2060,,0AUDLJ08S_00351_SC_00025.jpeg,"대흉근,삼각근,상완삼두근",2019,1인 이상,실내,91,"가슴,바깥쪽 어깨,뒤쪽 위팔",한국어,팔 굽혀 펴기(매트),20221010,근력/근지구력,"가슴의 근,상지의 근,상지의 근",팔굽혀펴기,68.735,,mp4,0AUDLJ08S_00351.mp4,"Pectoralis Major,Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,9,동영상,
"큰가슴근,어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15145209,29.96,중급,8,1920*1080,매트,유소년,2350,,0AUDLJ08S_00351_SC_00028.jpeg,"대흉근,삼각근,상완삼두근",2019,1인 이상,실내,91,"가슴,바깥쪽 어깨,뒤쪽 위팔",한국어,팔 굽혀 펴기(매트),20221010,근력/근지구력,"가슴의 근,상지의 근,상지의 근",팔굽혀펴기,78.411,,mp4,0AUDLJ08S_00351.mp4,"Pectoralis Major,Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,10,동영상,
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,9,1920*1080,,유소년,90,,0AUDLJ08S_00352_FR_00002.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,3.003,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,1,동영상,
"어깨세모근,위팔세갈래근",,http://openapi.kspo.or.kr/web/video/,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",15438485,29.96,중급,10,1920*1080,,유소년,552,,0AUDLJ08S_00352_SC_00004.jpeg,"삼각근,상완삼두근",2019,1인 이상,실내,91,"바깥쪽 어깨,뒤쪽 위팔",한국어,누워서 뒤로 팔 굽혀 펴기,20220916,근력/근지구력,"상지의 근,상지의 근",누워서 뒤로 팔굽혀펴기,18.418,,mp4,0AUDLJ08S_00352.mp4,"Deltoid,Triceps Brachii",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,2,동영상,
